Lotto,Tipologia,Categoria,Genere,Indirizzo,Tipologia 2,Data asta,Indirizzo 2,Prezzo,Offerta minima,Rialzo minimo,Termine presentazione offerte,Modalità gara,Categoria 2,Tipologia 3,Descrizione,Indirizzo 3,Foglio,Particella,Subalterno,Procedura (numero/anno),Tribunale,Tipologia 4,Pubblicazione siti internet Astalegale,Pubblicazione Portale delle Vendite Pubbliche,Numero visualizzazioni,Giudice,Custode,Delegato alla vendita,Data asta :,Tipologia: 1,Data asta:,Tipologia: 2,Ambito:,Email:,Telefono:,url,Cauzione,Professionista Delegato,Liquidatore,Asta del 06/02/2020:,Asta del 20/04/2020:,Asta del 27/11/2020:,Asta del 02/03/2021:,Stato di occupazione,Curatore,Asta del 18/09/2017:,Asta del 18/10/2017:,Asta del 20/11/2017:,Asta del 05/02/2018:,Asta del 05/03/2018:,Asta del 03/04/2018:,Asta del 12/01/2021:,Liquidatore Giudiziale,Asta del 31/10/2014:,Asta del 27/03/2015:,Asta del 31/03/2017:,Asta del 06/07/2017:,Asta del 05/10/2017:,Asta del 31/01/2018:,Asta del 12/12/2018:,Asta del 10/04/2019:,Asta del 24/07/2019:,Asta del 26/03/2020:,Asta del 25/11/2020:,Asta del 10/03/2021:,Soggetto specializzato alla vendita,Zona,Altro Soggetto,Asta del 19/10/2015:,Asta del 20/11/2015:,Asta del 27/11/2015:,Asta del 16/12/2015:,Asta del 18/01/2016:,Asta del 27/01/2016: 1,Asta del 27/01/2016: 2,Asta del 18/02/2016: 1,Asta del 18/02/2016: 2,Asta del 22/02/2016:,Asta del 02/03/2016:,Asta del 13/04/2016:,Asta del 20/04/2016:,Asta del 27/04/2016:,Asta del 28/04/2016:,Asta del 20/07/2016:,Asta del 14/09/2016: 1,Asta del 14/09/2016: 2,Asta del 21/09/2016:,Asta del 13/10/2016: 1,Asta del 13/10/2016: 2,Asta del 26/10/2016:,Asta del 03/11/2016: 1,Asta del 03/11/2016: 2,Asta del 15/11/2016: 1,Asta del 15/11/2016: 2,Asta del 16/11/2016:,Asta del 20/01/2017: 1,Asta del 20/01/2017: 2,Asta del 25/01/2017: 1,Asta del 25/01/2017: 2,Asta del 25/01/2017: 3,Asta del 16/02/2017:,Asta del 22/02/2017: 1,Asta del 22/02/2017: 2,Asta del 22/02/2017: 3,Asta del 24/02/2017:,Asta del 04/04/2017: 1,Asta del 04/04/2017: 2,Asta del 05/04/2017: 1,Asta del 05/04/2017: 2,Asta del 16/05/2017: 1,Asta del 16/05/2017: 2,Asta del 24/05/2017:,Asta del 15/06/2017:,Asta del 28/06/2017: 1,Asta del 28/06/2017: 2,Asta del 28/06/2017: 3,Asta del 28/06/2017: 4,Asta del 05/07/2017: 1,Asta del 05/07/2017: 2,Asta del 13/07/2017: 1,Asta del 13/07/2017: 2,Asta del 25/10/2017: 1,Asta del 25/10/2017: 2,Asta del 25/10/2017: 3,Asta del 13/12/2017: 1,Asta del 13/12/2017: 2,Asta del 13/12/2017: 3,Asta del 24/01/2018:,Asta del 11/05/2018:,Asta del 18/07/2018:,Asta del 20/07/2018:,Asta del 12/09/2018:,Asta del 03/10/2018:,Asta del 29/11/2018: 1,Asta del 29/11/2018: 2,Asta del 05/12/2018: 1,Asta del 05/12/2018: 2,Asta del 05/12/2018: 3,Asta del 05/12/2018: 4,Asta del 12/12/2018: 1,Asta del 12/12/2018: 2,Asta del 12/12/2018: 3,Asta del 12/12/2018: 4,Asta del 16/01/2019:,Asta del 27/02/2019: 1,Asta del 27/02/2019: 2,Asta del 27/02/2019: 3,Asta del 28/02/2019:,Asta del 29/04/2019:,Asta del 12/06/2019: 1,Asta del 12/06/2019: 2,Asta del 18/06/2019:,Asta del 19/06/2019:,Asta del 20/06/2019: 1,Asta del 20/06/2019: 2,Asta del 24/09/2019:,Asta del 09/10/2019: 1,Asta del 09/10/2019: 2,Asta del 14/10/2019:,Asta del 16/10/2019:,Asta del 30/10/2019:,Asta del 18/12/2019: 1,Asta del 18/12/2019: 2,Asta del 18/12/2019: 3,Asta del 17/03/2020:,Asta del 18/03/2020: 1,Asta del 18/03/2020: 2,Asta del 18/03/2020: 3,Asta del 13/05/2020: 1,Asta del 13/05/2020: 2,Asta del 24/06/2020:,Asta del 26/06/2020:,Asta del 21/10/2020: 1,Asta del 21/10/2020: 2,Asta del 10/02/2021:,Asta del 23/02/2021:,08/01/2021,Asta del 01/04/2019:,Asta del 30/07/2019:,Asta del 08/01/2020:,Asta del 29/04/2020:,Asta del 29/09/2020:,Asta del 04/02/2021:,Superficie,Asta del 30/03/2018:,Asta del 31/07/2018:,Asta del 18/12/2018:,Asta del 03/04/2019:,Asta del 17/09/2019:,Asta del 28/02/2020:,Asta del 02/10/2020:,Asta del 02/02/2021:,Asta del 03/04/2020:,Asta del 13/11/2020:,Asta del 12/02/2021:,Rinviata al,Rinviata al: 1,Rinviata al: 2,04/06/2020,18/11/2020,26/06/2020,22/03/2020,Termine presentazione offerte :,Termine presentazione offerte:,Asta del 16/11/2017:,Asta del 08/03/2018:
LOTTO UNICO,Fabbricati costruiti per esigenze commerciali,Immobile Commerciale,Immobili,Via COSMEE (DELLE) 211/213 00134 Roma (RM) Italia,Senza incanto,04/02/2021 10:30,"via Andrea Solario, 97 00142 Roma (RM) Italia","650.000,00 €","650.000,00","10.000,00",03/02/2021 12:00,Sincrona mista,Immobile Commerciale,Fabbricati costruiti per esigenze commerciali,"STABILIMENTO DI SMALTIMENTO DI RIFIUTI IN STATO DI ABBANDONO COMPOSTO DA BENI IMMOBILI E BENI MOBILI COME MEGLIO DESCRlTTl NELLA PERIZIA DI VALUTAZIONE REDATTA DAL PERITO DOTT. FERNANDO MAURIZI, ALLEGATA ALLA DOCUMENTAZIONE DI VENDITA. SI PRECISA CHE: i sopralluoghi presso lo stabilimento saranno sospesi per il periodo 23/12/2020-8/1/2021 compreso. Pertanto riprenderanno dal giorno 11 Gennaio 2021 considerando che i giorni 9 e 10 Gennaio sono rispettivamente un sabato ed una domenica.",Via COSMEE (DELLE) 211/213 00134 Roma (RM) Italia,,,,915 / 2016,Roma,PROCEDURE CONCORSUALI - FALLIMENTARE (nuovo rito),10/12/2020 (1),14/12/2020 (2),126,"AVVISO DI RETTIFICA (si invita a prendere visione del documento INFORMATIVA AUTORIZZAZIONE TRATTAMENTO RIFIUTI pubblicata sui siti www.astalegale.net, www.asteimmobili.it, www.spazioaste.it)",,"AVVISO DI RETTIFICA (si invita a prendere visione del documento INFORMATIVA AUTORIZZAZIONE TRATTAMENTO RIFIUTI pubblicata sui siti www.astalegale.net, www.asteimmobili.it, www.spazioaste.it)",04/02/2021 10:30,Fabbricati costruiti per esigenze commerciali,04/02/2021 10:30,Fabbricati costruiti per esigenze commerciali,Vendite pubbliche,garaimmobiliare@astalegale.net,02 800 300 21,https://www.astalegale.net/Immobili/Detail/b1899923-Fabbricati-costruiti-per-esigenze-commerciali-Via-COSMEE-DELLE-211213-Roma,,,,,,,,,"AVVISO DI RETTIFICA (si invita a prendere visione del documento INFORMATIVA AUTORIZZAZIONE TRATTAMENTO RIFIUTI pubblicata sui siti www.astalegale.net, www.asteimmobili.it, www.spazioaste.it)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AVVISO DI RETTIFICA (si invita a prendere visione del documento INFORMATIVA AUTORIZZAZIONE TRATTAMENTO RIFIUTI pubblicata sui siti www.astalegale.net, www.asteimmobili.it, www.spazioaste.it)","1.390.000,00 €","1.251.000,00 €","1.000.000,00 €","800.000,00 €","720.000,00 €","650.000,00 €",,,,,,,,,,,,,,,,,,,,,,,
2,Garage o autorimessa,Immobile Commerciale,Immobili,Via GIACOMO COSTAMAGNA 87 00181 Roma (RM) Italia,Competitiva,02/02/2021 10:30,"via Andrea Solario, 97 Int.16 00118 Roma (RM) Italia","26.198,00 €","26.198,00","1.000,00",01/02/2021 12:00,Sincrona mista,Immobile Commerciale,Garage o autorimessa,"Box doppio al piano seminterrato di consistenza complessiva pari a 34,50 mq. SI PRECISA CHE: i sopralluoghi presso gli immobili saranno sospesi per il periodo 23/12/2020-8/1/2021 compreso. Pertanto riprenderanno dal giorno 11 Gennaio 2021 considerando che i giorni 9 e 10 Gennaio sono rispettivamente un sabato ed una domenica",Via GIACOMO COSTAMAGNA 87 00181 Roma (RM) Italia,,,,44 / 2017,Roma,PROCEDURE CONCORSUALI - FALLIMENTARE (nuovo rito),10/12/2020 (1),11/12/2020 (2),116,Empty,,Empty,02/02/2021 10:30,Garage o autorimessa,02/02/2021 10:30,Garage o autorimessa,Vendite pubbliche,garaimmobiliare@astalegale.net,02 800 300 21,https://www.astalegale.net/Immobili/Detail/b1899911-Garage-o-autorimessa-Via-GIACOMO-COSTAMAGNA-87-Roma,,,,,,,,,Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,5","55.458,96 €","49.913,06 €","44.367,17 €","39.930,45 €","35.937,41 €","32.343,67 €","29.109,30 €","26.198,00 €",,,,,,,,,,,,,,
3,Garage o autorimessa,Immobile Commerciale,Immobili,Via GIACOMO COSTAMAGNA 87 00181 Roma (RM) Italia,Competitiva,02/02/2021 11:00,"via Andrea Solario, 97 Int.16 00118 Roma (RM) Italia","13.776,00 €","13.776,00","1.000,00",01/02/2021 12:00,Sincrona mista,Immobile Commerciale,Garage o autorimessa,Box singolo di consistenza complessiva pari a 18 mq. SI PRECISA CHE: i sopralluoghi presso gli immobili saranno sospesi per il periodo 23/12/2020-8/1/2021 compreso. Pertanto riprenderanno dal giorno 11 Gennaio 2021 considerando che i giorni 9 e 10 Gennaio sono rispettivamente un sabato ed una domenica.,Via GIACOMO COSTAMAGNA 87 00181 Roma (RM) Italia,,,,44 / 2017,Roma,PROCEDURE CONCORSUALI - FALLIMENTARE (nuovo rito),10/12/2020 (1),11/12/2020 (2),120,Empty,,Empty,02/02/2021 11:00,Garage o autorimessa,02/02/2021 11:00,Garage o autorimessa,Vendite pubbliche,garaimmobiliare@astalegale.net,02 800 300 21,https://www.astalegale.net/Immobili/Detail/b1899914-Garage-o-autorimessa-Via-GIACOMO-COSTAMAGNA-87-Roma,,,,,,,,,Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,"29.162,08 €","26.245,87 €","23.329,66 €","20.996,69 €","18.897,02 €","17.007,32 €","15.306,59 €","13.776,00 €",,,,,,,,,,,,,,
LOTTO UNICO,Abitazione di tipo civile,Immobile Residenziale,Immobili,Via G. Parini 28 00034 Colleferro (RM) Italia,Senza incanto,29/01/2021 10:00,Viale alla Marina n. 22 00042 Anzio (RM) Italia,"97.820,00 €","73.365,00 (2)","4.000,00",28/01/2021 13:00,Altra modalità,Immobile Residenziale,Appartamento,"appartamento in un fabbricato condominiale di cinque piani fuori terra. L’appartamento è composto di quattro stanze, cucina abitabile, due bagni , due balconi ed un ampio terrazzo che risulta essere il lastrico solare del sottostante locale al piano terra. La superficie coperta dell’appartamento è pari a 97 mq (convenzionale 146 mq), il terrazzo ha un’estensione di mq 200, i due balconi hanno una superficie complessiva di 24 mq. Sul terrazzo e sul balcone sono stati realizzati, in struttura precaria e amovibile, due box in laminato plastico di superficie, rispettivamente, di 5 mq e 2 mq. Inoltre, è stato spostato il vano cucina dove era prevista una camera e viceversa, senza opere murarie e senza alcuna autorizzazione e/o comunicazione all’ufficio competente. Per tale ultimo spostamento si ritiene applicabile una CILA in sanatoria (art. 36 DPR 380/01)",Via G. Parini 28 00034 Colleferro (RM) Italia,,,,17 / 2019,Velletri,ESECUZIONI CIVILI IMMOBILIARI - ESECUZIONE IMMOBILIARE POST LEGGE 80,23/11/2020 (1),23/11/2020 (2),130,Empty,Empty,Empty,29/01/2021 10:00,Abitazione di tipo civile,29/01/2021 10:00,Abitazione di tipo civile,,,,https://www.astalegale.net/Immobili/Detail/b1881920-Abitazione-di-tipo-civile-Via-G-Parini-28-Colleferro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOTTO UNICO,Ufficio,Immobile Commerciale,Immobili,Corso MARCONI n. 43 00053 Civitavecchia (RM) Italia,Senza incanto,08/01/2021 15:20,Corso MARCONI n. 43 00053 Civitavecchia (RM) Italia,"92.400,00 €","69.300,00 (2)","2.800,00",07/01/2021 13:00,Sincrona mista,Immobile Commerciale,Ufficio,"immobile uso Ufficio sito inel Comune di Civitavecchia, C.so G. Marconi n. 43, piano primo, interno 2, distinto al N.C.E.U. dello stesso Comune al fg. 22 particella 114, subalterno 5, cat. A/10, classe 2, consistenza 2,5 vani.",Corso MARCONI n.43 00053 Civitavecchia (RM) Italia,,,,142 / 2017,Civitavecchia,ESECUZIONI CIVILI IMMOBILIARI - ESECUZIONE IMMOBILIARE POST LEGGE 80,10/11/2020 (1),02/10/2020 (2),141,,,Empty,08/01/2021 15:20,Ufficio,08/01/2021 15:20,Ufficio,Vendite pubbliche,garaimmobiliare@astalegale.net,02 800 300 21,https://www.astalegale.net/Immobili/Detail/b1884228-Ufficio-Corso-MARCONI-n-43-Civitavecchia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOTTO UNICO,Abitazione di tipo civile,Immobile Residenziale,Immobili,Via Lago Maggiore 2 00048 Nettuno (RM) Italia,Senza incanto,29/01/2021 10:00,via E. Cisterna n.4 00045 Genzano di Roma (RM) Italia,"80.000,00 €","60.000,00 (2)","4.000,00",28/01/2021 13:00,Altra modalità,Immobile Residenziale,Appartamento,"Villetta interno 3, piano T. Porzione di villino quadrifamiliare con annessa corte esclusiva posta su unico livello di piano terra e distinta con l’interno 3. Identificato al catasto FabbricatiFg1, part. 1716, sub 3, categoria A2. L’immobile viene posto in vendita per il diritto di proprietà (1/1)",Via Lago Maggiore 2 00048 Nettuno (RM) Italia,,,,483 / 2018,Velletri,ESECUZIONI CIVILI IMMOBILIARI - ESECUZIONE IMMOBILIARE POST LEGGE 80,05/11/2020 (1),05/11/2020 (2),194,Empty,Empty,Empty,29/01/2021 10:00,Abitazione di tipo civile,29/01/2021 10:00,Abitazione di tipo civile,,,,https://www.astalegale.net/Immobili/Detail/b1882553-Abitazione-di-tipo-civile-Via-Lago-Maggiore-2-Nettuno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOTTO UNICO,Abitazione di tipo civile,Immobile Residenziale,Immobili,Localita' Torvaianica - Via Svezia 313 00040 Pomezia (RM) Italia,Senza incanto,21/01/2021 10:00,Piazza A. Gramsci n. 22 00041 Albano Laziale (RM) Italia,"103.000,00 €","77.250,00 (2)","5.000,00",20/01/2021 13:00,Altra modalità,Immobile Residenziale,Appartamento,"piena proprietà di appartamento al piano terra di 4 vani, distinto con int. 2, con corte pertinenziale e posto auto scoperto, in Comune di Pomezia, loc. Torvaianica, Via Svezia n. 313, edificio D. Distinto al C.F. del Comune di Pomezia al foglio 34, part. 850, sub 2, cat. A/2, cl. 3, vani 4, r.c. 537,12 (appartamento), e foglio 34, part. 872, sub 2, cat. C/6, cl. 3, mq 7, r.c. 22,41 (posto auto)",Localita' Torvaianica - Via Svezia 313 00040 Pomezia (RM) Italia,,,,746 / 2017,Velletri,ESECUZIONI CIVILI IMMOBILIARI - ESECUZIONE IMMOBILIARE POST LEGGE 80,03/11/2020 (1),04/11/2020 (2),257,Empty,Empty,Empty,21/01/2021 10:00,Abitazione di tipo civile,21/01/2021 10:00,Abitazione di tipo civile,,,,https://www.astalegale.net/Immobili/Detail/b1882428-Abitazione-di-tipo-civile-Localita-Torvaianica---Via-Svezia-313-Pomezia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unico,Abitazione di tipo civile,Immobile Residenziale,Immobili,Localita' Colle Tucciarello - Via F.S. Baltasar 10 00038 Valmontone (RM),Senza incanto,12/02/2021 10:00,Localita' Colle Tucciarello - Via F.S. Baltasar 10 00038 Valmontone (RM),"120.950,00 €","90.712,50 € (2)",,11/02/2021 13:00,,Immobile Residenziale,Abitazione di tipo civile,"BENE 1: Appartamento al piano terra della scala ""B"" composto da: ingresso, soggiorno, cucina, bagno, camera da letto, terrazzo a livello. In catasto al fg. 22, part. 1838, sub. 12, cat. A/3. Occupato dal debitore. BENE 2: Garage scala B piano S1 composto da unico vano. In catasto al Fg. 22, part. 1838, sub. 39, cat. C/6. BENE 3: Cantina scala B composta da unico vano. In catasto al fg. 22, part. 1838, sub. 63, cat. C/2.",,,,,391 / 2018,Velletri,Esecuzioni civili,02/11/2020 (1),,115,Empty,Empty,,12/02/2021 10:00,Abitazione di tipo civile,12/02/2021 10:00,Abitazione di tipo civile,,,,https://www.astalegale.net/Immobili/Detail/b1882859-Abitazione-di-tipo-civile-Localita-Colle-Tucciarello---Via-FS-Baltasar-10-Valmontone,,Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"120.950,00 €","120.950,00 €","120.950,00 €",,,,,,,,,,,
Unico,Abitazione di tipo civile,Immobile Residenziale,Immobili,Localita' Colle Tucciarello - Via F.S. Baltasar 10 00038 Valmontone (RM),Senza incanto,13/11/2020 10:00,Tribunale di Velletri Via Artemisia Mammucari 00049 Velletri (RM),"120.950,00 €","90.712,50 € (2)",,12/11/2020 13:00,,Immobile Residenziale,Abitazione di tipo civile,"BENE 1: Appartamento al piano terra della scala ""B"" composto da: ingresso, soggiorno, cucina, bagno, camera da letto, terrazzo a livello. In catasto al fg. 22, part. 1838, sub. 12, cat. A/3. Occupato dal debitore. BENE 2: Garage scala B piano S1 composto da unico vano. In catasto al Fg. 22, part. 1838, sub. 39, cat. C/6. BENE 3: Cantina scala B composta da unico vano. In catasto al fg. 22, part. 1838, sub. 63, cat. C/2.",Localita' Colle Tucciarello - Via F.S. Baltasar 10 00038 Valmontone (RM),,,,391 / 2018,Velletri,Esecuzioni civili,09/06/2020 (1),,1812,RINVIO D'UFFICIO,RINVIO D'UFFICIO,,13/11/2020 10:00,Abitazione di tipo civile,13/11/2020 10:00,Abitazione di tipo civile,,,,https://www.astalegale.net/Immobili/Detail/b1816803-Abitazione-di-tipo-civile-Localita-Colle-Tucciarello---Via-FS-Baltasar-10-Valmontone,,RINVIO D'UFFICIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"120.950,00 €","120.950,00 €","120.950,00 €",12/02/2021 10:00,12/02/2021 10:00,12/02/2021 10:00,,,,,,,,
LOTTO UNICO,Abitazione di tipo civile,Immobile Residenziale,Immobili,Via Dei Campi di Annibali 25 00040 Rocca di Papa (RM) Italia,Senza incanto,24/07/2020 10:00,via Artemisia Mammucari 00049 Velletri (RM) Italia,"44.350,00 €","33.262,50 (2)",,23/07/2020 13:00,Altra modalità,Immobile Residenziale,Appartamento,"Appartamento nel comune di Rocca di Papa (RM) - via dei Campi di Annibale n. 25, piano S1, la pianta è rettangolare e presenta di verse altezze al suo interno di mq. 55,00 (lordo) e di mq. 40,23 (netto) ed è composto da una zona pranzo con angolo cottura, un disimpegno (che funge anche da cameretta), un bagno, una camera da letto con balconcino e ripostiglio esterno. Identificato al catasto Fabbricati - Fg. 32, Part. 94, Sub. 501, Categoria A4.",Via Dei Campi di Annibali 25 00040 Rocca di Papa (RM) Italia,,,,110 / 2019,Velletri,ESECUZIONI CIVILI IMMOBILIARI - ESECUZIONE IMMOBILIARE POST LEGGE 80,05/05/2020 (1),05/05/2020 (2),1515,AVVISO DI RETTIFICA (Asta rinviata al 06/11/2020.),AVVISO DI RETTIFICA (Asta rinviata al 06/11/2020.),AVVISO DI RETTIFICA (Asta rinviata al 06/11/2020.),24/07/2020 10:00 Rinvio d'ufficio,Abitazione di tipo civile,24/07/2020 10:00 Rinvio d'ufficio,Abitazione di tipo civile,,,,https://www.astalegale.net/Immobili/Detail/b1818860-Abitazione-di-tipo-civile-Via-Dei-Campi-di-Annibali-25-Rocca-di-Papa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AVVISO DI RETTIFICA (Asta rinviata al 06/11/2020.),,,,,,,
1,Abitazione di tipo civile,Immobile Residenziale,Immobili,Via Lazzaro Belli 4 00044 Frascati (RM) Italia,Senza incanto,27/03/2020 10:00,Via San Paolo Apostolo 37 00040 Marino (RM) Italia,"306.000,00 €","229.500,00 (2)","16.000,00",26/03/2020 13:00,Altra modalità,Immobile Residenziale,Appartamento,"Piena proprietà di villa su due piani fuori terra, con portico, magazzino e corte esclusiva. Il piano terra si compone di un ampio soggiorno-pranzo, cucina, disimpegno e bagno per una superficie di 73,25 mq. oltre al portico di 29,60 mq. Il primo piano al quale si acceda da scala a giorno si compone di doppio disimpegno, tre camere da letto, studio e bagno per una superficie di 75,15 mq. Sotto è presente anche un magazzino abusivo di circa 63,00 mq. La corte in parte è pavimentata ed in parte piantumata.",Via Lazzaro Belli 4 00044 Frascati (RM) Italia,,,,85 / 2019,Velletri,ESECUZIONI CIVILI IMMOBILIARI - ESECUZIONE IMMOBILIARE POST LEGGE 80,14/01/2020 (1),14/01/2020 (2),2134,AVVISO DI RETTIFICA (Nuovo termine presentazione offerte 15 aprile 2021 ore 13:00. Svolgimento asta 16 aprile 2021 ore 10:00),AVVISO DI RETTIFICA (Nuovo termine presentazione offerte 15 aprile 2021 ore 13:00. Svolgimento asta 16 aprile 2021 ore 10:00),AVVISO DI RETTIFICA (Nuovo termine presentazione offerte 15 aprile 2021 ore 13:00. Svolgimento asta 16 aprile 2021 ore 10:00),27/03/2020 10:00,Abitazione di tipo civile,27/03/2020 10:00,Abitazione di tipo civile,,,,https://www.astalegale.net/Immobili/Detail/b1787964-Abitazione-di-tipo-civile-Via-Lazzaro-Belli-4-Frascati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"186,48",,,,,,,,,,,,16/04/2021 10:00,16/04/2021 10:00,16/04/2021 10:00,,AVVISO DI RETTIFICA (Nuovo termine presentazione offerte 15 aprile 2021 ore 13:00. Svolgimento asta 16 aprile 2021 ore 10:00),AVVISO DI RETTIFICA (nuovo termine presentazione offerte 3 dicembre 2020 ore 13:00; svolgimento asta 4 dicembre 2020 ore 10:00),"AVVISO DI RETTIFICA (Rinvio al 24 luglio 2020, ore 10 con termine presentazione offerte al 23 luglio 2020 ore 13:00. Provv GE Velletri 17/3/20)",,,,
1,Abitazione di tipo civile,Immobile Residenziale,Immobili,Localita' Nuova Florida - Via Legnano 62 00040 Ardea (RM) Italia,Senza incanto,27/03/2020 10:00,Via San Paolo Apostolo 37 00040 Marino (RM) Italia,"170.579,50 €","127.934,63 (2)","9.000,00",26/03/2020 13:00,Altra modalità,Immobile Residenziale,Appartamento,"Piena proprietà di villetta disposta su unico livello al piano terra, sita in edificio plurifamiliare, con corte esterna pertinenziale pavimentata e giardino in discreto stato manutentivo. L'abitazione è composta da soggiorno, cucina, disimpegno, bagno, due camere ed un ripostiglio.",Localita' Nuova Florida - Via Legnano 62 00040 Ardea (RM) Italia,,,,76 / 2019,Velletri,ESECUZIONI CIVILI IMMOBILIARI - ESECUZIONE IMMOBILIARE POST LEGGE 80,14/01/2020 (1),14/01/2020 (2),1893,AVVISO DI RETTIFICA (Nuovo termine presentazione offerte 15 aprile 2021 ore 13:00. Svolgimento asta 16 aprile 2021 ore 10:00),AVVISO DI RETTIFICA (Nuovo termine presentazione offerte 15 aprile 2021 ore 13:00. Svolgimento asta 16 aprile 2021 ore 10:00),AVVISO DI RETTIFICA (Nuovo termine presentazione offerte 15 aprile 2021 ore 13:00. Svolgimento asta 16 aprile 2021 ore 10:00),27/03/2020 10:00,Abitazione di tipo civile,27/03/2020 10:00,Abitazione di tipo civile,,,,https://www.astalegale.net/Immobili/Detail/b1788078-Abitazione-di-tipo-civile-Localita-Nuova-Florida---Via-Legnano-62-Ardea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/04/2021 10:00,16/04/2021 10:00,16/04/2021 10:00,,AVVISO DI RETTIFICA (Nuovo termine presentazione offerte 15 aprile 2021 ore 13:00. Svolgimento asta 16 aprile 2021 ore 10:00),"AVVISO DI RETTIFICA (nuovo termine presentazione offerte 3 dicembre 2020 ore 13:00, svolgimento asta 4 dicembre 2020 ore 10:00)","AVVISO DI RETTIFICA (Rinvio al 24 luglio 2020 ore 10, termine presentazione offerte 23 luglio 2020 ore 13:00, Provv GE Velletri del 17/3/2020)",,,,
